,Company,Location,Type,Title,Description,Company_url,Company_logo,Latitude,Longitude
48,The Atlantic,,Full Time,,,,,39.5143268,-74.6632883
49,The Atlantic,,Full Time,,,http://theatlantic.com,,39.5143268,-74.6632883
50,The Atlantic,"Washington, DC & New York, NY",Full Time,,,http://theatlantic.com,,40.731626,-73.999108
51,The Atlantic,"Washington, DC & New York, NY",Full Time,Lead Front End Developer,,http://theatlantic.com,,40.731626,-73.999108
52,The Atlantic,"Washington, DC & New York, NY",Full Time,Lead Front End Developer,"<p>The Atlantic is a digital-first media company with over 160 years of history and 36 million readers a month. Founded in 1857 and today one of the fastest-growing media platforms in the industry, The Atlantic has throughout its history championed the power of big ideas and continues to shape global debate through our two websites: TheAtlantic.com and CityLab.com. We work in a fast-paced, team-oriented environment out of our office in the historic Watergate complex in Washington DC. This role can be based in either Washington, DC or New York, NY.</p>
<p><strong>Who You Are</strong></p>
<p>You are an experienced developer with proven leadership and management experience.</p>
<p>You are well versed in the modern front-end, and can mentor junior members of the team on the latest best practices concerning ES6, SCSS, and performance. You know how to collaborate with designers, are knowledgeable about CSS conventions and naming methodologies such as BEM, SMACSS, OOCSS, and can describe their relative merits.</p>
<p>Your experience has taught you the architectural strategies and practices that are necessary for organizing and maintaining front end code that can scale as our team continues to grow. You know how to evaluate new technology and determine which path will best fit our business needs.</p>
<p>Above all, you’re a creative problem solver: able to devise and deliver practical, maintainable software that addresses Atlantic staffers’ and readers’ needs.</p>
<p><strong>Primary Responsibilities</strong>:</p>
<ul>
<li>Provide feedback and mentorship to the front end team through weekly one-on-one check as well as mid and end of the year reviews</li>
<li>Help plan and execute team and individual goals, with an eye on team growth and development</li>
<li>Champion ways to improve our front end tech stack, including tooling, unit testing, and architecture</li>
<li>Collaborate with team members to plan projects, creating technical road maps and breaking projects up into individual tasks as necessary while always keeping in mind long term maintainability</li>
<li>Act as a role model to others on the team by exhibiting strong work ethic and technical expertise when writing code or building new website features</li>
<li>Act as a expert who can provide technical help and guidance to the other front end developers</li>
</ul>
<p><strong>Requirements</strong>:</p>
<ul>
<li>Proven experience with technical leadership and management</li>
<li>Experience architecting a front end codebase at scale</li>
<li>Strong technical and non-technical communication skills</li>
<li>Able to look at a design and break it into well organized reusable components</li>
<li>Experience planning, ticketing, and executing team projects</li>
<li>Comfortable with Git for version control</li>
<li>Effective time management when working on multiple projects</li>
<li>Passionate about front end performance with up-to-date knowledge of current techniques</li>
<li>Familiar with Node.js and modern frontend build tooling</li>
<li>Knowledgeable about modern JavaScript frameworks but comfortable working in Vanilla JS</li>
<li>Able to provide a code sample demonstrating expertise at writing and organizing CSS, HTML, and - JavaScript suitable for a complex, fast-changing website</li>
</ul>
<p><strong>Benefits</strong></p>
<p>Employees at The Atlantic are entitled to benefits including: 401(k) savings plan with employer match, health care with domestic partner coverage, flexible vacation and sick leave policy, commuter benefits, and rooftop happy hours with one of the best views in DC.</p>
<p><strong>Atlantic Media Values</strong>:</p>
<p>Across Atlantic Media, generally, the firm looks for two “pillar gifts” in you, and everyone else.  In all of us, these are more aspirational than actual, but they are central in our intentions –</p>
<ul>
<li>
<strong>Force of Ideas</strong>: At the center of Atlantic Media work are the ideas within our writing. We believe that ideas – to the good and not – have consequence. Our highest work is bringing rigor, insight, intellectual integrity, to that ultimate purpose of separating the bad from the good, and giving voice to the latter.</li>
<li>
<strong>Spirit of Generosity</strong>: Atlantic Media seeks in its ranks those with natural disposition toward service and selfless conduct. Atlantic Media writing should be cut from the same cloth – critical on the merits, but informed by charity and forbearance in measuring motive and personal character.</li>
</ul>
<p><em>Atlantic Media is an EOE of Minorities/Women/Vets/Disability</em>.</p>
<p><em>Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.</em></p>
",http://theatlantic.com,,40.731626,-73.999108
53,The Atlantic,"Washington, DC & New York, NY",Full Time,Lead Front End Developer,"<p>The Atlantic is a digital-first media company with over 160 years of history and 36 million readers a month. Founded in 1857 and today one of the fastest-growing media platforms in the industry, The Atlantic has throughout its history championed the power of big ideas and continues to shape global debate through our two websites: TheAtlantic.com and CityLab.com. We work in a fast-paced, team-oriented environment out of our office in the historic Watergate complex in Washington DC. This role can be based in either Washington, DC or New York, NY.</p>
<p><strong>Who You Are</strong></p>
<p>You are an experienced developer with proven leadership and management experience.</p>
<p>You are well versed in the modern front-end, and can mentor junior members of the team on the latest best practices concerning ES6, SCSS, and performance. You know how to collaborate with designers, are knowledgeable about CSS conventions and naming methodologies such as BEM, SMACSS, OOCSS, and can describe their relative merits.</p>
<p>Your experience has taught you the architectural strategies and practices that are necessary for organizing and maintaining front end code that can scale as our team continues to grow. You know how to evaluate new technology and determine which path will best fit our business needs.</p>
<p>Above all, you’re a creative problem solver: able to devise and deliver practical, maintainable software that addresses Atlantic staffers’ and readers’ needs.</p>
<p><strong>Primary Responsibilities</strong>:</p>
<ul>
<li>Provide feedback and mentorship to the front end team through weekly one-on-one check as well as mid and end of the year reviews</li>
<li>Help plan and execute team and individual goals, with an eye on team growth and development</li>
<li>Champion ways to improve our front end tech stack, including tooling, unit testing, and architecture</li>
<li>Collaborate with team members to plan projects, creating technical road maps and breaking projects up into individual tasks as necessary while always keeping in mind long term maintainability</li>
<li>Act as a role model to others on the team by exhibiting strong work ethic and technical expertise when writing code or building new website features</li>
<li>Act as a expert who can provide technical help and guidance to the other front end developers</li>
</ul>
<p><strong>Requirements</strong>:</p>
<ul>
<li>Proven experience with technical leadership and management</li>
<li>Experience architecting a front end codebase at scale</li>
<li>Strong technical and non-technical communication skills</li>
<li>Able to look at a design and break it into well organized reusable components</li>
<li>Experience planning, ticketing, and executing team projects</li>
<li>Comfortable with Git for version control</li>
<li>Effective time management when working on multiple projects</li>
<li>Passionate about front end performance with up-to-date knowledge of current techniques</li>
<li>Familiar with Node.js and modern frontend build tooling</li>
<li>Knowledgeable about modern JavaScript frameworks but comfortable working in Vanilla JS</li>
<li>Able to provide a code sample demonstrating expertise at writing and organizing CSS, HTML, and - JavaScript suitable for a complex, fast-changing website</li>
</ul>
<p><strong>Benefits</strong></p>
<p>Employees at The Atlantic are entitled to benefits including: 401(k) savings plan with employer match, health care with domestic partner coverage, flexible vacation and sick leave policy, commuter benefits, and rooftop happy hours with one of the best views in DC.</p>
<p><strong>Atlantic Media Values</strong>:</p>
<p>Across Atlantic Media, generally, the firm looks for two “pillar gifts” in you, and everyone else.  In all of us, these are more aspirational than actual, but they are central in our intentions –</p>
<ul>
<li>
<strong>Force of Ideas</strong>: At the center of Atlantic Media work are the ideas within our writing. We believe that ideas – to the good and not – have consequence. Our highest work is bringing rigor, insight, intellectual integrity, to that ultimate purpose of separating the bad from the good, and giving voice to the latter.</li>
<li>
<strong>Spirit of Generosity</strong>: Atlantic Media seeks in its ranks those with natural disposition toward service and selfless conduct. Atlantic Media writing should be cut from the same cloth – critical on the merits, but informed by charity and forbearance in measuring motive and personal character.</li>
</ul>
<p><em>Atlantic Media is an EOE of Minorities/Women/Vets/Disability</em>.</p>
<p><em>Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.</em></p>
",http://theatlantic.com,,40.731626,-73.999108
54,The Atlantic,"Washington, DC & New York, NY",Full Time,Lead Front End Developer,"<p>The Atlantic is a digital-first media company with over 160 years of history and 36 million readers a month. Founded in 1857 and today one of the fastest-growing media platforms in the industry, The Atlantic has throughout its history championed the power of big ideas and continues to shape global debate through our two websites: TheAtlantic.com and CityLab.com. We work in a fast-paced, team-oriented environment out of our office in the historic Watergate complex in Washington DC. This role can be based in either Washington, DC or New York, NY.</p>
<p><strong>Who You Are</strong></p>
<p>You are an experienced developer with proven leadership and management experience.</p>
<p>You are well versed in the modern front-end, and can mentor junior members of the team on the latest best practices concerning ES6, SCSS, and performance. You know how to collaborate with designers, are knowledgeable about CSS conventions and naming methodologies such as BEM, SMACSS, OOCSS, and can describe their relative merits.</p>
<p>Your experience has taught you the architectural strategies and practices that are necessary for organizing and maintaining front end code that can scale as our team continues to grow. You know how to evaluate new technology and determine which path will best fit our business needs.</p>
<p>Above all, you’re a creative problem solver: able to devise and deliver practical, maintainable software that addresses Atlantic staffers’ and readers’ needs.</p>
<p><strong>Primary Responsibilities</strong>:</p>
<ul>
<li>Provide feedback and mentorship to the front end team through weekly one-on-one check as well as mid and end of the year reviews</li>
<li>Help plan and execute team and individual goals, with an eye on team growth and development</li>
<li>Champion ways to improve our front end tech stack, including tooling, unit testing, and architecture</li>
<li>Collaborate with team members to plan projects, creating technical road maps and breaking projects up into individual tasks as necessary while always keeping in mind long term maintainability</li>
<li>Act as a role model to others on the team by exhibiting strong work ethic and technical expertise when writing code or building new website features</li>
<li>Act as a expert who can provide technical help and guidance to the other front end developers</li>
</ul>
<p><strong>Requirements</strong>:</p>
<ul>
<li>Proven experience with technical leadership and management</li>
<li>Experience architecting a front end codebase at scale</li>
<li>Strong technical and non-technical communication skills</li>
<li>Able to look at a design and break it into well organized reusable components</li>
<li>Experience planning, ticketing, and executing team projects</li>
<li>Comfortable with Git for version control</li>
<li>Effective time management when working on multiple projects</li>
<li>Passionate about front end performance with up-to-date knowledge of current techniques</li>
<li>Familiar with Node.js and modern frontend build tooling</li>
<li>Knowledgeable about modern JavaScript frameworks but comfortable working in Vanilla JS</li>
<li>Able to provide a code sample demonstrating expertise at writing and organizing CSS, HTML, and - JavaScript suitable for a complex, fast-changing website</li>
</ul>
<p><strong>Benefits</strong></p>
<p>Employees at The Atlantic are entitled to benefits including: 401(k) savings plan with employer match, health care with domestic partner coverage, flexible vacation and sick leave policy, commuter benefits, and rooftop happy hours with one of the best views in DC.</p>
<p><strong>Atlantic Media Values</strong>:</p>
<p>Across Atlantic Media, generally, the firm looks for two “pillar gifts” in you, and everyone else.  In all of us, these are more aspirational than actual, but they are central in our intentions –</p>
<ul>
<li>
<strong>Force of Ideas</strong>: At the center of Atlantic Media work are the ideas within our writing. We believe that ideas – to the good and not – have consequence. Our highest work is bringing rigor, insight, intellectual integrity, to that ultimate purpose of separating the bad from the good, and giving voice to the latter.</li>
<li>
<strong>Spirit of Generosity</strong>: Atlantic Media seeks in its ranks those with natural disposition toward service and selfless conduct. Atlantic Media writing should be cut from the same cloth – critical on the merits, but informed by charity and forbearance in measuring motive and personal character.</li>
</ul>
<p><em>Atlantic Media is an EOE of Minorities/Women/Vets/Disability</em>.</p>
<p><em>Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.</em></p>
",http://theatlantic.com,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdFZXIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b5696c45ec9ba49ead9190535e55a9e2ca213021/dda99823-bc1b-4669-800b-48e3971f2d37,40.731626,-73.999108
59,The Atlantic,,Full Time,,,,,39.5143268,-74.6632883
60,The Atlantic,,Full Time,,,http://theatlantic.com,,39.5143268,-74.6632883
61,The Atlantic,"Washington, DC & New York, NY",Full Time,,,http://theatlantic.com,,40.731626,-73.999108
