,Company,Location,Type,Title,Description,Company_url,Company_logo,Latitude,Longitude
39,PlayVS,"Santa Monica, CA",Full Time,,,http://www.playvs.com,,34.019454,-118.491191
40,PlayVS,"Santa Monica, CA",Full Time,"Software Engineer, Full Stack",,http://www.playvs.com,,34.019454,-118.491191
41,PlayVS,"Santa Monica, CA",Full Time,"Software Engineer, Full Stack","<p>PlayVS is building the infrastructure and official platform for high school esports. We work with game publishers and high school governing bodies to build and operate sanctioned leagues across the country. Our software products tie everything together, creating the world’s first full-stack sports platform. PlayVS is headquartered in Santa Monica, CA and rapidly expanding.</p>
<p>As an engineer, you’ll be expected to do the normal tech startup duties including:</p>
<ul>
<li>
<p>Writing clean, easily-maintainable code. We’re extremely proud of our lack of technical debt and want to keep it that way.</p>
</li>
<li>
<p>Debugging, documentation, and unit testing. Everyone loves a smooth game day.</p>
</li>
<li>
<p>Have a natural knack for user experience and pixel-perfect design. You should know CSS like it’s the back of your hand, and be extremely comfortable building modern responsive web apps.</p>
</li>
<li>
<p>Being flexible about your day-to-day tasks. We do everything from tweaking marketing pages to building the real-time match-play systems and data pipelines. You will wear many hats here.</p>
</li>
<li>
<p>Improving our internal tooling and engineering process by contributing your knowledge and unique background.</p>
</li>
</ul>
<p>What we’re looking for:</p>
<ul>
<li>
<p>4+ years of technical experience</p>
</li>
<li>
<p>Interest in gaming or esports, though no prior experience is required
Experience using NodeJS or NoSQL data stores like Redis, RethinkDB or Mongo</p>
</li>
<li>
<p>Expert developing interfaces using ReactJS</p>
</li>
<li>
<p>Top-notch CSS skills</p>
</li>
<li>
<p>Comfortable working with WebSockets</p>
</li>
<li>
<p>Degree in Computer Science preferred</p>
</li>
</ul>
<p>At PlayVS, we put a heavy emphasis on inclusiveness, diversity, and most importantly, player experience. Our team is small, scrappy, and incredibly talented. The challenges we solve on a daily basis are exciting and relevant. This role is $110K+.  If you are driven by seeing the immediate impact that your code brings, you’ll fit right in here.</p>
",http://www.playvs.com,,34.019454,-118.491191
42,PlayVS,"Santa Monica, CA",Full Time,"Software Engineer, Full Stack","<p>PlayVS is building the infrastructure and official platform for high school esports. We work with game publishers and high school governing bodies to build and operate sanctioned leagues across the country. Our software products tie everything together, creating the world’s first full-stack sports platform. PlayVS is headquartered in Santa Monica, CA and rapidly expanding.</p>
<p>As an engineer, you’ll be expected to do the normal tech startup duties including:</p>
<ul>
<li>
<p>Writing clean, easily-maintainable code. We’re extremely proud of our lack of technical debt and want to keep it that way.</p>
</li>
<li>
<p>Debugging, documentation, and unit testing. Everyone loves a smooth game day.</p>
</li>
<li>
<p>Have a natural knack for user experience and pixel-perfect design. You should know CSS like it’s the back of your hand, and be extremely comfortable building modern responsive web apps.</p>
</li>
<li>
<p>Being flexible about your day-to-day tasks. We do everything from tweaking marketing pages to building the real-time match-play systems and data pipelines. You will wear many hats here.</p>
</li>
<li>
<p>Improving our internal tooling and engineering process by contributing your knowledge and unique background.</p>
</li>
</ul>
<p>What we’re looking for:</p>
<ul>
<li>
<p>4+ years of technical experience</p>
</li>
<li>
<p>Interest in gaming or esports, though no prior experience is required
Experience using NodeJS or NoSQL data stores like Redis, RethinkDB or Mongo</p>
</li>
<li>
<p>Expert developing interfaces using ReactJS</p>
</li>
<li>
<p>Top-notch CSS skills</p>
</li>
<li>
<p>Comfortable working with WebSockets</p>
</li>
<li>
<p>Degree in Computer Science preferred</p>
</li>
</ul>
<p>At PlayVS, we put a heavy emphasis on inclusiveness, diversity, and most importantly, player experience. Our team is small, scrappy, and incredibly talented. The challenges we solve on a daily basis are exciting and relevant. This role is $110K+.  If you are driven by seeing the immediate impact that your code brings, you’ll fit right in here.</p>
",http://www.playvs.com,,34.019454,-118.491191
43,PlayVS,"Santa Monica, CA",Full Time,"Software Engineer, Full Stack","<p>PlayVS is building the infrastructure and official platform for high school esports. We work with game publishers and high school governing bodies to build and operate sanctioned leagues across the country. Our software products tie everything together, creating the world’s first full-stack sports platform. PlayVS is headquartered in Santa Monica, CA and rapidly expanding.</p>
<p>As an engineer, you’ll be expected to do the normal tech startup duties including:</p>
<ul>
<li>
<p>Writing clean, easily-maintainable code. We’re extremely proud of our lack of technical debt and want to keep it that way.</p>
</li>
<li>
<p>Debugging, documentation, and unit testing. Everyone loves a smooth game day.</p>
</li>
<li>
<p>Have a natural knack for user experience and pixel-perfect design. You should know CSS like it’s the back of your hand, and be extremely comfortable building modern responsive web apps.</p>
</li>
<li>
<p>Being flexible about your day-to-day tasks. We do everything from tweaking marketing pages to building the real-time match-play systems and data pipelines. You will wear many hats here.</p>
</li>
<li>
<p>Improving our internal tooling and engineering process by contributing your knowledge and unique background.</p>
</li>
</ul>
<p>What we’re looking for:</p>
<ul>
<li>
<p>4+ years of technical experience</p>
</li>
<li>
<p>Interest in gaming or esports, though no prior experience is required
Experience using NodeJS or NoSQL data stores like Redis, RethinkDB or Mongo</p>
</li>
<li>
<p>Expert developing interfaces using ReactJS</p>
</li>
<li>
<p>Top-notch CSS skills</p>
</li>
<li>
<p>Comfortable working with WebSockets</p>
</li>
<li>
<p>Degree in Computer Science preferred</p>
</li>
</ul>
<p>At PlayVS, we put a heavy emphasis on inclusiveness, diversity, and most importantly, player experience. Our team is small, scrappy, and incredibly talented. The challenges we solve on a daily basis are exciting and relevant. This role is $110K+.  If you are driven by seeing the immediate impact that your code brings, you’ll fit right in here.</p>
",http://www.playvs.com,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa2xXIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--02900ed15126cfa0983ebd48ddba2b07539f4c62/7f3abee5-837b-49da-93f7-b44fbe23fc0a,34.019454,-118.491191
50,PlayVS,"Santa Monica, CA",Full Time,,,http://www.playvs.com,,34.019454,-118.491191
51,PlayVS,"Santa Monica, CA",Full Time,"Software Engineer, Frontend ",,http://www.playvs.com,,34.019454,-118.491191
52,PlayVS,"Santa Monica, CA",Full Time,"Software Engineer, Frontend ","<p>PlayVS is building the infrastructure and official platform for high school esports. We work with game publishers and high school governing bodies to build and operate sanctioned leagues across the country. Our software products tie everything together, creating the world’s first full-stack sports platform. PlayVS is headquartered in Santa Monica, CA and rapidly expanding.</p>
<p>As an engineer, you’ll be expected to do the normal tech startup duties including:</p>
<ul>
<li>
<p>Writing clean, easily-maintainable code. We’re extremely proud of our lack of technical debt and want to keep it that way.</p>
</li>
<li>
<p>Debugging, documentation, and unit testing. Everyone loves a smooth game day.</p>
</li>
<li>
<p>Have a natural knack for user experience and pixel-perfect design. You should know CSS like it’s the back of your hand, and be extremely comfortable building modern responsive web apps.</p>
</li>
<li>
<p>Being flexible about your day-to-day tasks. We do everything from tweaking marketing pages to building the real-time match-play systems and data pipelines. You will wear many hats here.</p>
</li>
<li>
<p>Improving our internal tooling and engineering process by contributing your knowledge and unique background.</p>
</li>
</ul>
<p>What we’re looking for:</p>
<ul>
<li>
<p>4+ years of technical experience</p>
</li>
<li>
<p>Interest in gaming or esports</p>
</li>
<li>
<p>Expert developing interfaces using ReactJS</p>
</li>
<li>
<p>Top-notch CSS skills</p>
</li>
<li>
<p>Comfortable working with WebSockets</p>
</li>
<li>
<p>Degree in Computer Science preferred</p>
</li>
</ul>
<p>At PlayVS, we put a heavy emphasis on inclusiveness, diversity, and most importantly, player experience. Our team is small, scrappy, and incredibly talented. The challenges we solve on a daily basis are exciting and relevant.  This role is $90k+.  If you are driven by seeing the immediate impact that your code brings, you’ll fit right in here.
</p>
",http://www.playvs.com,,34.019454,-118.491191
53,PlayVS,"Santa Monica, CA",Full Time,"Software Engineer, Frontend ","<p>PlayVS is building the infrastructure and official platform for high school esports. We work with game publishers and high school governing bodies to build and operate sanctioned leagues across the country. Our software products tie everything together, creating the world’s first full-stack sports platform. PlayVS is headquartered in Santa Monica, CA and rapidly expanding.</p>
<p>As an engineer, you’ll be expected to do the normal tech startup duties including:</p>
<ul>
<li>
<p>Writing clean, easily-maintainable code. We’re extremely proud of our lack of technical debt and want to keep it that way.</p>
</li>
<li>
<p>Debugging, documentation, and unit testing. Everyone loves a smooth game day.</p>
</li>
<li>
<p>Have a natural knack for user experience and pixel-perfect design. You should know CSS like it’s the back of your hand, and be extremely comfortable building modern responsive web apps.</p>
</li>
<li>
<p>Being flexible about your day-to-day tasks. We do everything from tweaking marketing pages to building the real-time match-play systems and data pipelines. You will wear many hats here.</p>
</li>
<li>
<p>Improving our internal tooling and engineering process by contributing your knowledge and unique background.</p>
</li>
</ul>
<p>What we’re looking for:</p>
<ul>
<li>
<p>4+ years of technical experience</p>
</li>
<li>
<p>Interest in gaming or esports</p>
</li>
<li>
<p>Expert developing interfaces using ReactJS</p>
</li>
<li>
<p>Top-notch CSS skills</p>
</li>
<li>
<p>Comfortable working with WebSockets</p>
</li>
<li>
<p>Degree in Computer Science preferred</p>
</li>
</ul>
<p>At PlayVS, we put a heavy emphasis on inclusiveness, diversity, and most importantly, player experience. Our team is small, scrappy, and incredibly talented. The challenges we solve on a daily basis are exciting and relevant.  This role is $90k+.  If you are driven by seeing the immediate impact that your code brings, you’ll fit right in here.
</p>
",http://www.playvs.com,,34.019454,-118.491191
54,PlayVS,"Santa Monica, CA",Full Time,"Software Engineer, Frontend ","<p>PlayVS is building the infrastructure and official platform for high school esports. We work with game publishers and high school governing bodies to build and operate sanctioned leagues across the country. Our software products tie everything together, creating the world’s first full-stack sports platform. PlayVS is headquartered in Santa Monica, CA and rapidly expanding.</p>
<p>As an engineer, you’ll be expected to do the normal tech startup duties including:</p>
<ul>
<li>
<p>Writing clean, easily-maintainable code. We’re extremely proud of our lack of technical debt and want to keep it that way.</p>
</li>
<li>
<p>Debugging, documentation, and unit testing. Everyone loves a smooth game day.</p>
</li>
<li>
<p>Have a natural knack for user experience and pixel-perfect design. You should know CSS like it’s the back of your hand, and be extremely comfortable building modern responsive web apps.</p>
</li>
<li>
<p>Being flexible about your day-to-day tasks. We do everything from tweaking marketing pages to building the real-time match-play systems and data pipelines. You will wear many hats here.</p>
</li>
<li>
<p>Improving our internal tooling and engineering process by contributing your knowledge and unique background.</p>
</li>
</ul>
<p>What we’re looking for:</p>
<ul>
<li>
<p>4+ years of technical experience</p>
</li>
<li>
<p>Interest in gaming or esports</p>
</li>
<li>
<p>Expert developing interfaces using ReactJS</p>
</li>
<li>
<p>Top-notch CSS skills</p>
</li>
<li>
<p>Comfortable working with WebSockets</p>
</li>
<li>
<p>Degree in Computer Science preferred</p>
</li>
</ul>
<p>At PlayVS, we put a heavy emphasis on inclusiveness, diversity, and most importantly, player experience. Our team is small, scrappy, and incredibly talented. The challenges we solve on a daily basis are exciting and relevant.  This role is $90k+.  If you are driven by seeing the immediate impact that your code brings, you’ll fit right in here.
</p>
",http://www.playvs.com,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa2RXIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c006ca2e3659381100d6f6de12d331553cce4e33/2f5dd3f9-319e-4b5e-ab32-093701b04d06,34.019454,-118.491191
